connection,from,from_role,to,to_role
inherits,BinaryAttachmentBody,Service Provider,TempFileBody,Information Holder
inherits,Body,Service Provider,BinaryMemoryBody,Information Holder
inherits,Body,Service Provider,BinaryTempFileMessageBody,Information Holder
inherits,Body,Service Provider,FileBackedBody,Information Holder
inherits,Body,Service Provider,TextBody,Information Holder
inherits,MergeCursor,Service Provider,MergeCursorWithUniqueId,Information Holder
inherits,Part,Service Provider,BodyPart,Information Holder
inherits,RawDataBody,Service Provider,BinaryMemoryBody,Information Holder
inherits,RawDataBody,Service Provider,BinaryTempFileBody,Information Holder
inherits,RawDataBody,Service Provider,FileBackedBody,Information Holder
inherits,SizeAware,Service Provider,BinaryMemoryBody,Information Holder
inherits,SizeAware,Service Provider,BinaryTempFileBody,Information Holder
inherits,SizeAware,Service Provider,FileBackedBody,Information Holder
inherits,SizeAware,Service Provider,TempFileBody,Information Holder
inherits,SizeAware,Service Provider,TextBody,Information Holder
inherits,Store,Information Holder,LocalStore,Service Provider
uses,AttachmentContentLoader,Service Provider,Attachment,Information Holder
uses,AttachmentInfoExtractor,Service Provider,AttachmentViewInfo,Information Holder
uses,AttachmentInfoLoader,Service Provider,Attachment,Information Holder
uses,EmailProvider,Service Provider,Account,Information Holder
uses,HtmlQuoteCreator,Service Provider,InsertableHtmlContent,Information Holder
uses,IdentityHelper,Service Provider,Identity,Information Holder
uses,ImapConnection,Service Provider,AuthenticationFailedException,Information Holder
uses,ImapConnection,Service Provider,ImapResponse,Information Holder
uses,ImapConnection,Service Provider,MessagingException,Information Holder
uses,ImapResponseParser,Service Provider,ImapResponse,Information Holder
uses,ImapStoreUriDecoder,Service Provider,ImapStoreSettings,Information Holder
uses,ImapUtility,Service Provider,ImapResponse,Information Holder
uses,LocalMessageExtractorLoader,Service Provider,MessageViewInfo,Information Holder
uses,LocalMessageLoader,Service Provider,LocalMessage,Information Holder
uses,LocalStore,Service Provider,Account,Information Holder
uses,LocalStore,Service Provider,LocalFolder,Information Holder
uses,LocalStore,Service Provider,LocalMessage,Information Holder
uses,MessageBuilder,Service Provider,MimeMultipart,Information Holder
uses,MessageBuilder,Service Provider,TextBody,Information Holder
uses,MessageLoaderHelper,Service Provider,MessageViewInfo,Information Holder
uses,MessagePreviewCreator,Service Provider,PreviewResult,Information Holder
uses,MlfUtils,Service Provider,LocalFolder,Information Holder
uses,NotificationContentCreator,Service Provider,NotificationContent,Information Holder
uses,Pop3Store,Service Provider,ServerSettings,Information Holder
uses,SmtpTransport,Service Provider,MessagingException,Information Holder
uses,TextBodyBuilder,Service Provider,InsertableHtmlContent,Information Holder
uses,TextBodyBuilder,Service Provider,TextBody,Information Holder
uses,TransportUris,Service Provider,ServerSettings,Information Holder
uses,WebDavFolder,Service Provider,WebDavStore,Information Holder
uses,WebDavStoreUriDecoder,Service Provider,WebDavStoreSettings,Information Holder
uses,Account,Information Holder,LocalStore,Service Provider
uses,ImapResponse,Information Holder,ImapResponseCallback,Service Provider
uses,Store,Information Holder,Pusher,Service Provider
uses,WebDavStore,Information Holder,WebDavFolder,Service Provider
uses,WebDavStore,Information Holder,WebDavHttpClient,Service Provider
calls,ActivityListener,Service Provider,Account,Information Holder
calls,AttachmentContentLoader,Service Provider,Attachment,Information Holder
calls,AttachmentInfoExtractor,Service Provider,LocalMessage,Information Holder
calls,AttachmentInfoLoader,Service Provider,Attachment,Information Holder
calls,CapabilityResponse,Service Provider,ImapResponse,Information Holder
calls,ChooseAccount,Service Provider,BaseAccount,Information Holder
calls,DatabaseUpgradeService,Service Provider,Account,Information Holder
calls,DefaultBodyFactory,Service Provider,BinaryTempFileBody,Information Holder
calls,DeviceNotifications,Service Provider,Account,Information Holder
calls,DeviceNotifications,Service Provider,NotificationSetting,Information Holder
calls,FetchBodyCallback,Service Provider,ImapResponse,Information Holder
calls,HtmlQuoteCreator,Service Provider,InsertableHtmlContent,Information Holder
calls,IdentityHeaderBuilder,Service Provider,Identity,Information Holder
calls,IdentityHeaderBuilder,Service Provider,IdentityField,Information Holder
calls,IdentityHeaderBuilder,Service Provider,InsertableHtmlContent,Information Holder
calls,IdentityHeaderBuilder,Service Provider,MessageReference,Information Holder
calls,IdentityHeaderBuilder,Service Provider,TextBody,Information Holder
calls,IdentityHeaderParser,Service Provider,IdentityField,Information Holder
calls,IdentityHelper,Service Provider,Account,Information Holder
calls,ImapConnection,Service Provider,ImapResponse,Information Holder
calls,ImapConnection,Service Provider,ImapSettings,Information Holder
calls,ImapConnection,Service Provider,NegativeImapResponseException,Information Holder
calls,ImapResponseParser,Service Provider,ImapResponse,Information Holder
calls,ImapStoreUriCreator,Service Provider,ServerSettings,Information Holder
calls,LocalMessageLoader,Service Provider,MessageReference,Information Holder
calls,LocalStore,Service Provider,Account,Information Holder
calls,LocalStore,Service Provider,LocalFolder,Information Holder
calls,LocalStore,Service Provider,LocalMessage,Information Holder
calls,MessageActions,Service Provider,Account,Information Holder
calls,MessageActions,Service Provider,MessageReference,Information Holder
calls,MessageBuilder,Service Provider,Identity,Information Holder
calls,MessageBuilder,Service Provider,MimeMultipart,Information Holder
calls,MessageCryptoHelper,Service Provider,CryptoResultAnnotation,Information Holder
calls,MessageCryptoStructureDetector,Service Provider,CryptoResultAnnotation,Information Holder
calls,MessageLoaderHelper,Service Provider,Account,Information Holder
calls,MessageLoaderHelper,Service Provider,MessageReference,Information Holder
calls,MessageReferenceHelper,Service Provider,MessageReference,Information Holder
calls,MigrationTo41,Service Provider,Account,Information Holder
calls,MigrationTo42,Service Provider,LocalFolder,Information Holder
calls,MigrationTo43,Service Provider,Account,Information Holder
calls,MigrationTo43,Service Provider,LocalFolder,Information Holder
calls,MigrationTo50,Service Provider,Account,Information Holder
calls,MigrationTo51,Service Provider,Account,Information Holder
calls,MigrationTo55,Service Provider,LocalFolder,Information Holder
calls,MigrationTo55,Service Provider,LocalMessage,Information Holder
calls,MlfUtils,Service Provider,Account,Information Holder
calls,MlfUtils,Service Provider,LocalFolder,Information Holder
calls,MlfUtils,Service Provider,MessageReference,Information Holder
calls,NotificationActionCreator,Service Provider,Account,Information Holder
calls,NotificationActionCreator,Service Provider,MessageReference,Information Holder
calls,NotificationContentCreator,Service Provider,Account,Information Holder
calls,NotificationContentCreator,Service Provider,LocalMessage,Information Holder
calls,OpenPgpApiHelper,Service Provider,Identity,Information Holder
calls,PermanentFlagsResponse,Service Provider,ImapResponse,Information Holder
calls,PgpMessageBuilder,Service Provider,BinaryTempFileBody,Information Holder
calls,PgpMessageBuilder,Service Provider,ComposeCryptoStatus,Information Holder
calls,PgpMessageBuilder,Service Provider,MimeMultipart,Information Holder
calls,Pop3Store,Service Provider,StoreConfig,Information Holder
calls,RemoteControlReceiver,Service Provider,Account,Information Holder
calls,ReplyToParser,Service Provider,Account,Information Holder
calls,SelectOrExamineResponse,Service Provider,ImapResponse,Information Holder
calls,SettingsExporter,Service Provider,Account,Information Holder
calls,SettingsExporter,Service Provider,ServerSettings,Information Holder
calls,SmtpTransport,Service Provider,MessagingException,Information Holder
calls,SmtpTransport,Service Provider,StoreConfig,Information Holder
calls,SqlQueryBuilder,Service Provider,Account,Information Holder
calls,SqlQueryBuilder,Service Provider,LocalFolder,Information Holder
